All_Symptoms,Disease,Description
"chills, vomiting, fatigue, weight, loss, cough, high, fever, breathlessness, sweating, loss, of, appetite, mild, fever, yellowing, of, eyes, swelled, lymph, nodes, malaise, phlegm, chest, pain, blood, in, sputum",Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
"vomiting, fatigue, weight, loss, cough, high, fever, breathlessness, sweating, loss, of, appetite, mild, fever, yellowing, of, eyes, swelled, lymph, nodes, malaise, phlegm, chest, pain, blood, in, sputum",Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
"chills, fatigue, weight, loss, cough, high, fever, breathlessness, sweating, loss, of, appetite, mild, fever, yellowing, of, eyes, swelled, lymph, nodes, malaise, phlegm, chest, pain, blood, in, sputum",Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
"chills, vomiting, weight, loss, cough, high, fever, breathlessness, sweating, loss, of, appetite, mild, fever, yellowing, of, eyes, swelled, lymph, nodes, malaise, phlegm, chest, pain, blood, in, sputum",Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
"chills, vomiting, fatigue, cough, high, fever, breathlessness, sweating, loss, of, appetite, mild, fever, yellowing, of, eyes, swelled, lymph, nodes, malaise, phlegm, chest, pain, blood, in, sputum",Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
"chills, vomiting, fatigue, weight, loss, high, fever, breathlessness, sweating, loss, of, appetite, mild, fever, yellowing, of, eyes, swelled, lymph, nodes, malaise, phlegm, chest, pain, blood, in, sputum",Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
"chills, vomiting, fatigue, weight, loss, cough, breathlessness, sweating, loss, of, appetite, mild, fever, yellowing, of, eyes, swelled, lymph, nodes, malaise, phlegm, chest, pain, blood, in, sputum",Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
"chills, vomiting, fatigue, weight, loss, cough, high, fever, sweating, loss, of, appetite, mild, fever, yellowing, of, eyes, swelled, lymph, nodes, malaise, phlegm, chest, pain, blood, in, sputum",Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
"chills, vomiting, fatigue, weight, loss, cough, high, fever, breathlessness, loss, of, appetite, mild, fever, yellowing, of, eyes, swelled, lymph, nodes, malaise, phlegm, chest, pain, blood, in, sputum",Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
"continuous, sneezing, chills, fatigue, cough, muscle, pain, high, fever, headache, swelled, lymph, nodes, malaise, phlegm, throat, irritation, redness, of, eyes, sinus, pressure, runny, nose, congestion, chest, pain, loss, of, smell",Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
"chills, fatigue, cough, high, fever, headache, swelled, lymph, nodes, malaise, phlegm, throat, irritation, redness, of, eyes, sinus, pressure, runny, nose, congestion, chest, pain, loss, of, smell, muscle, pain",Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
"continuous, sneezing, fatigue, cough, high, fever, headache, swelled, lymph, nodes, malaise, phlegm, throat, irritation, redness, of, eyes, sinus, pressure, runny, nose, congestion, chest, pain, loss, of, smell, muscle, pain",Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
"continuous, sneezing, chills, cough, high, fever, headache, swelled, lymph, nodes, malaise, phlegm, throat, irritation, redness, of, eyes, sinus, pressure, runny, nose, congestion, chest, pain, loss, of, smell, muscle, pain",Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
"continuous, sneezing, chills, fatigue, high, fever, headache, swelled, lymph, nodes, malaise, phlegm, throat, irritation, redness, of, eyes, sinus, pressure, runny, nose, congestion, chest, pain, loss, of, smell, muscle, pain",Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
"continuous, sneezing, chills, fatigue, cough, headache, swelled, lymph, nodes, malaise, phlegm, throat, irritation, redness, of, eyes, sinus, pressure, runny, nose, congestion, chest, pain, loss, of, smell, muscle, pain",Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
"continuous, sneezing, chills, fatigue, cough, high, fever, swelled, lymph, nodes, malaise, phlegm, throat, irritation, redness, of, eyes, sinus, pressure, runny, nose, congestion, chest, pain, loss, of, smell, muscle, pain",Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
"continuous, sneezing, chills, fatigue, cough, high, fever, headache, malaise, phlegm, throat, irritation, redness, of, eyes, sinus, pressure, runny, nose, congestion, chest, pain, loss, of, smell, muscle, pain",Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
"continuous, sneezing, chills, fatigue, cough, high, fever, headache, swelled, lymph, nodes, phlegm, throat, irritation, redness, of, eyes, sinus, pressure, runny, nose, congestion, chest, pain, loss, of, smell, muscle, pain",Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
"chills, fatigue, cough, high, fever, breathlessness, sweating, malaise, chest, pain, fast, heart, rate, rusty, sputum",Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
"chills, fatigue, cough, high, fever, breathlessness, sweating, malaise, phlegm, chest, pain, fast, heart, rate, rusty, sputum",Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
"fatigue, cough, high, fever, breathlessness, sweating, malaise, phlegm, chest, pain, fast, heart, rate, rusty, sputum",Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
"chills, cough, high, fever, breathlessness, sweating, malaise, phlegm, chest, pain, fast, heart, rate, rusty, sputum",Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
"chills, fatigue, high, fever, breathlessness, sweating, malaise, phlegm, chest, pain, fast, heart, rate, rusty, sputum",Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
"chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest, pain, fast, heart, rate, rusty, sputum",Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
"chills, fatigue, cough, high, fever, sweating, malaise, phlegm, chest, pain, fast, heart, rate, rusty, sputum",Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
"chills, fatigue, cough, high, fever, breathlessness, malaise, phlegm, chest, pain, fast, heart, rate, rusty, sputum",Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
"chills, fatigue, cough, high, fever, breathlessness, sweating, phlegm, chest, pain, fast, heart, rate, rusty, sputum",Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
"constipation, pain, during, bowel, movements, pain, in, anal, region, bloody, stool, irritation, in, anus",Dimorphic hemmorhoids(piles),
"pain, during, bowel, movements, pain, in, anal, region, bloody, stool, irritation, in, anus",Dimorphic hemmorhoids(piles),
"constipation, pain, in, anal, region, bloody, stool, irritation, in, anus",Dimorphic hemmorhoids(piles),
"constipation, pain, during, bowel, movements, bloody, stool, irritation, in, anus",Dimorphic hemmorhoids(piles),
"constipation, pain, during, bowel, movements, pain, in, anal, region, irritation, in, anus",Dimorphic hemmorhoids(piles),
"constipation, pain, during, bowel, movements, pain, in, anal, region, bloody, stool",Dimorphic hemmorhoids(piles),
"vomiting, breathlessness, sweating, chest, pain",Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
"breathlessness, sweating, chest, pain",Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
"vomiting, sweating, chest, pain",Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
"vomiting, breathlessness, chest, pain",Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
"vomiting, breathlessness, sweating",Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
"fatigue, cramps, bruising, obesity, swollen, legs, swollen, blood, vessels, prominent, veins, on, calf",Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
"cramps, bruising, obesity, swollen, legs, swollen, blood, vessels, prominent, veins, on, calf",Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
"fatigue, bruising, obesity, swollen, legs, swollen, blood, vessels, prominent, veins, on, calf",Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
"fatigue, cramps, obesity, swollen, legs, swollen, blood, vessels, prominent, veins, on, calf",Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
"fatigue, cramps, bruising, swollen, legs, swollen, blood, vessels, prominent, veins, on, calf",Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
"fatigue, cramps, bruising, obesity, swollen, blood, vessels, prominent, veins, on, calf",Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
"fatigue, cramps, bruising, obesity, swollen, legs, prominent, veins, on, calf",Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
"fatigue, cramps, bruising, obesity, swollen, legs, swollen, blood, vessels",Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
"fatigue, weight, gain, cold, hands, and, feets, mood, swings, lethargy, dizziness, puffy, face, and, eyes, enlarged, thyroid, brittle, nails, swollen, extremeties, depression, irritability, abnormal, menstruation",Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
"weight, gain, cold, hands, and, feets, mood, swings, lethargy, dizziness, puffy, face, and, eyes, enlarged, thyroid, brittle, nails, swollen, extremeties, depression, irritability, abnormal, menstruation",Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
"fatigue, cold, hands, and, feets, mood, swings, lethargy, dizziness, puffy, face, and, eyes, enlarged, thyroid, brittle, nails, swollen, extremeties, depression, irritability, abnormal, menstruation",Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
"fatigue, weight, gain, mood, swings, lethargy, dizziness, puffy, face, and, eyes, enlarged, thyroid, brittle, nails, swollen, extremeties, depression, irritability, abnormal, menstruation",Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
"fatigue, weight, gain, cold, hands, and, feets, lethargy, dizziness, puffy, face, and, eyes, enlarged, thyroid, brittle, nails, swollen, extremeties, depression, irritability, abnormal, menstruation",Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
"fatigue, weight, gain, cold, hands, and, feets, mood, swings, dizziness, puffy, face, and, eyes, enlarged, thyroid, brittle, nails, swollen, extremeties, depression, irritability, abnormal, menstruation",Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
"fatigue, weight, gain, cold, hands, and, feets, mood, swings, lethargy, puffy, face, and, eyes, enlarged, thyroid, brittle, nails, swollen, extremeties, depression, irritability, abnormal, menstruation",Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
"fatigue, weight, gain, cold, hands, and, feets, mood, swings, lethargy, dizziness, enlarged, thyroid, brittle, nails, swollen, extremeties, depression, irritability, abnormal, menstruation",Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
"fatigue, mood, swings, weight, loss, restlessness, sweating, diarrhoea, fast, heart, rate, excessive, hunger, muscle, weakness, irritability, abnormal, menstruation",Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
"mood, swings, weight, loss, restlessness, sweating, diarrhoea, fast, heart, rate, excessive, hunger, muscle, weakness, irritability, abnormal, menstruation",Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
"fatigue, weight, loss, restlessness, sweating, diarrhoea, fast, heart, rate, excessive, hunger, muscle, weakness, irritability, abnormal, menstruation",Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
"fatigue, mood, swings, restlessness, sweating, diarrhoea, fast, heart, rate, excessive, hunger, muscle, weakness, irritability, abnormal, menstruation",Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
"fatigue, mood, swings, weight, loss, sweating, diarrhoea, fast, heart, rate, excessive, hunger, muscle, weakness, irritability, abnormal, menstruation",Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
"fatigue, mood, swings, weight, loss, restlessness, diarrhoea, fast, heart, rate, excessive, hunger, muscle, weakness, irritability, abnormal, menstruation",Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
"fatigue, mood, swings, weight, loss, restlessness, sweating, fast, heart, rate, excessive, hunger, muscle, weakness, irritability, abnormal, menstruation",Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
"fatigue, mood, swings, weight, loss, restlessness, sweating, diarrhoea, excessive, hunger, muscle, weakness, irritability, abnormal, menstruation",Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
"fatigue, mood, swings, weight, loss, restlessness, sweating, diarrhoea, fast, heart, rate, muscle, weakness, irritability, abnormal, menstruation",Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred, and, distorted, vision, excessive, hunger, slurred, speech, irritability, palpitations",Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred, and, distorted, vision, excessive, hunger, drying, and, tingling, lips, slurred, speech, irritability, palpitations",Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
"fatigue, anxiety, sweating, headache, nausea, blurred, and, distorted, vision, excessive, hunger, drying, and, tingling, lips, slurred, speech, irritability, palpitations",Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
"vomiting, anxiety, sweating, headache, nausea, blurred, and, distorted, vision, excessive, hunger, drying, and, tingling, lips, slurred, speech, irritability, palpitations",Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
"vomiting, fatigue, sweating, headache, nausea, blurred, and, distorted, vision, excessive, hunger, drying, and, tingling, lips, slurred, speech, irritability, palpitations",Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
"vomiting, fatigue, anxiety, headache, nausea, blurred, and, distorted, vision, excessive, hunger, drying, and, tingling, lips, slurred, speech, irritability, palpitations",Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
"vomiting, fatigue, anxiety, sweating, nausea, blurred, and, distorted, vision, excessive, hunger, drying, and, tingling, lips, slurred, speech, irritability, palpitations",Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
"vomiting, fatigue, anxiety, sweating, headache, blurred, and, distorted, vision, excessive, hunger, drying, and, tingling, lips, slurred, speech, irritability, palpitations",Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
"vomiting, fatigue, anxiety, sweating, headache, nausea, excessive, hunger, drying, and, tingling, lips, slurred, speech, irritability, palpitations",Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
"joint, pain, neck, pain, knee, pain, hip, joint, pain, swelling, joints, painful, walking",Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
"neck, pain, knee, pain, hip, joint, pain, swelling, joints, painful, walking",Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
"joint, pain, knee, pain, hip, joint, pain, swelling, joints, painful, walking",Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
"joint, pain, neck, pain, hip, joint, pain, swelling, joints, painful, walking",Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
"joint, pain, neck, pain, knee, pain, swelling, joints, painful, walking",Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
"joint, pain, neck, pain, knee, pain, hip, joint, pain, painful, walking",Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
"joint, pain, neck, pain, knee, pain, hip, joint, pain, swelling, joints",Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
"muscle, weakness, stiff, neck, swelling, joints, movement, stiffness, painful, walking",Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
"stiff, neck, swelling, joints, movement, stiffness, painful, walking",Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
"muscle, weakness, swelling, joints, movement, stiffness, painful, walking",Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
"muscle, weakness, stiff, neck, movement, stiffness, painful, walking",Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
"muscle, weakness, stiff, neck, swelling, joints, painful, walking",Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
"muscle, weakness, stiff, neck, swelling, joints, movement, stiffness",Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
"vomiting, headache, nausea, spinning, movements, loss, of, balance, unsteadiness",(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
"headache, nausea, spinning, movements, loss, of, balance, unsteadiness",(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
"vomiting, nausea, spinning, movements, loss, of, balance, unsteadiness",(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
"vomiting, headache, spinning, movements, loss, of, balance, unsteadiness",(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
"vomiting, headache, nausea, loss, of, balance, unsteadiness",(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
"vomiting, headache, nausea, spinning, movements, unsteadiness",(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
"vomiting, headache, nausea, spinning, movements, loss, of, balance",(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
"skin, rash, pus, filled, pimples, blackheads, scurring",Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
"pus, filled, pimples, blackheads, scurring",Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
"skin, rash, blackheads, scurring",Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
